url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_digits,num_special_chars,num_subdomains,has_ip_address,has_at_symbol,has_https,has_punycode,has_port,path_depth,query_param_count,digit_ratio,uppercase_ratio,entropy,has_suspicious_token,has_safe_token,has_login_token,has_verify_token,has_password_token,suspicious_tld,uses_shortener_like_domain,has_double_slash_in_path,url,label
21.0,13.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5585186130489057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.portal.io,0
49.0,34.0,8.0,0.0,3.0,2.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.061224489795918366,0.0,4.1853404560068865,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,http://login.auth.update-portal-242.click/account,1
37.0,18.0,11.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.303783770917412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://cloud-learning.org/help/bvvhf,0
23.0,15.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.969001629875993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.company.edu,0
118.0,51.0,23.0,36.0,4.0,2.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.025423728813559324,0.0,4.728906734825157,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,http://qfyypyltte.account.account.billing-password-890.zip/password/wcttgpjrjhorz?redirect=docs&token=iidaucnetzmeiaka,1
99.0,49.0,6.0,36.0,4.0,2.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.030303030303030304,0.0,4.846331308008689,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,http://ieeitugyj.password.verify.account-password-795.gq/login?redirect=research&token=xfzoxmlaudpb,1
110.0,40.0,15.0,46.0,4.0,2.0,3.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.02727272727272727,0.0,4.784261846672373,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,https://gqzbf.login.account.update-update-325.pw/confirm/access?redirect=learning&token=lwfijpgtkomdvilmkmzpid,1
121.0,49.0,20.0,43.0,4.0,2.0,3.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.024793388429752067,0.0,4.881056474106558,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,https://piyzurabgz.signin.verify.password-login-547.click/confirm/mjsftuqqbig?redirect=company&token=jkllztfmpaeogtopvwvj,1
136.0,9.0,26.0,42.0,5.0,2.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.022058823529411766,0.0,4.781068858952608,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,http://ierwdsste.password.account.unlock-learning-594.zip@cloud.gov/confirm/billing/msmxgozzs?redirect=research&token=vjedqzunoyoiolemtt,1
97.0,34.0,14.0,41.0,3.0,2.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.030927835051546393,0.0,4.638882847499583,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,http://auth.account.update-unlock-363.xyz/update/leizcc?redirect=studio&token=cpjheoowlyuweggxyum,1
41.0,8.0,0.0,25.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.338663284842051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,http://news.edu?ref=studio&source=example,0
31.0,23.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.824533406881911,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.research-health.org,0
81.0,14.0,24.0,35.0,3.0,0.0,11.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.13580246913580246,0.0,4.698987466828023,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,http://187.12.182.151/update/access/okbfoltyp?redirect=docs&token=sloplbawqneuzoo,1
95.0,11.0,6.0,34.0,4.0,2.0,3.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.031578947368421054,0.0,4.759976473761317,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,https://auth.account.verify-studio-310.zip@company.edu/login?redirect=research&token=nvhtxkguaw,1
56.0,33.0,16.0,0.0,3.0,2.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.05357142857142857,0.0,4.224690806288128,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,http://unlock.login.login-finance-282.gq/confirm/finance,1
28.0,15.0,5.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.039148671903071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.example.org/docs,0
